dt,mw_procured,Hours_in_interval,mw_available,revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,p_acc_K1
2024-07-03 19:30:00+00:00,400.0,0.25,50.0,187.84945605326274,187.84945605326274,41.62,520.25,187.84945605326274,0,0.05009318828087006
2024-07-03 19:45:00+00:00,400.0,0.25,50.0,187.9563927199761,187.9563927199761,68.89,861.125,187.9563927199761,0,0.050121704725326954
2024-07-03 20:00:00+00:00,400.0,0.25,50.0,187.9600789381547,187.9600789381547,222.83,2785.375,187.9600789381547,0,0.05012268771684125
2024-07-03 20:15:00+00:00,400.0,0.25,50.0,302.5388479151235,302.5388479151235,189.28,2366.0,302.5388479151235,0,0.0806770261106996
2024-07-03 20:30:00+00:00,400.0,0.25,50.0,603.0128830291391,603.0128830291391,41.62,520.25,520.25,1,0.1608034354744371
2024-07-03 20:45:00+00:00,400.0,0.25,50.0,304.11674407369304,304.11674407369304,41.62,520.25,304.11674407369304,0,0.08109779841965148
2024-07-03 21:00:00+00:00,400.0,0.25,50.0,304.5345347122122,304.5345347122122,186.8,2335.0,304.5345347122122,0,0.08120920925658992
2024-07-03 21:15:00+00:00,400.0,0.25,50.0,833.8192971106336,833.8192971106336,139.92,1748.9999999999998,833.8192971106336,0,0.22235181256283565
2024-07-03 21:30:00+00:00,400.0,0.25,50.0,987.2427172227741,987.2427172227741,119.92,1499.0,987.2427172227741,0,0.26326472459273975
2024-07-03 21:45:00+00:00,400.0,0.25,50.0,834.9222318701571,834.9222318701571,41.62,520.25,520.25,1,0.22264592849870857
2024-07-03 22:00:00+00:00,400.0,0.25,50.0,837.7271554817838,837.7271554817838,41.62,520.25,520.25,1,0.2233939081284757
2024-07-03 22:15:00+00:00,400.0,0.25,50.0,990.0638737890363,990.0638737890363,101.12,1264.0,990.0638737890363,0,0.2640170330104097
2024-07-03 22:30:00+00:00,400.0,0.25,50.0,990.0638737890363,990.0638737890363,101.12,1264.0,990.0638737890363,0,0.2640170330104097
2024-07-03 22:45:00+00:00,400.0,0.25,50.0,736.7739034660191,736.7739034660191,101.12,1264.0,736.7739034660191,0,0.19647304092427176
2024-07-03 23:00:00+00:00,400.0,0.25,50.0,738.5900690315383,738.5900690315383,101.12,1264.0,738.5900690315383,0,0.19695735174174356
2024-07-03 23:15:00+00:00,400.0,0.25,50.0,868.9953855936263,868.9953855936263,112.4,1405.0,868.9953855936263,0,0.23173210282496703
2024-07-03 23:30:00+00:00,400.0,0.25,50.0,868.9373749438618,868.9373749438618,112.4,1405.0,868.9373749438618,0,0.23171663331836312
2024-07-03 23:45:00+00:00,400.0,0.25,50.0,869.5482265327231,869.5482265327231,101.76,1272.0,869.5482265327231,0,0.23187952707539283
2024-07-04 00:00:00+00:00,400.0,0.25,50.0,869.5300915489702,869.5300915489702,101.76,1272.0,869.5300915489702,0,0.23187469107972536
2024-07-04 00:15:00+00:00,400.0,0.25,50.0,1201.700610836877,1201.700610836877,132.07,1650.875,1201.700610836877,0,0.3204534962231672
2024-07-04 00:30:00+00:00,400.0,0.25,50.0,1201.7265649101712,1201.7265649101712,132.07,1650.875,1201.7265649101712,0,0.320460417309379
2024-07-04 00:45:00+00:00,400.0,0.25,50.0,1201.7857070337952,1201.7857070337952,132.07,1650.875,1201.7857070337952,0,0.3204761885423454
2024-07-04 01:00:00+00:00,400.0,0.25,50.0,1201.7857070337952,1201.7857070337952,132.07,1650.875,1201.7857070337952,0,0.3204761885423454
2024-07-04 01:15:00+00:00,400.0,0.25,50.0,1232.1649029261157,1232.1649029261157,137.76,1722.0,1232.1649029261157,0,0.32857730744696423
