dt,mw_procured,Hours_in_interval,mw_available,cap_revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-06 10:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 10:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 10:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 11:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 11:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 11:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 11:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 12:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 12:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 12:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 12:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 13:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,795.57,9944.625,1133.6085891032428,0,1133.6085891032428
2024-07-06 13:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,706.73,8834.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 13:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,706.73,8834.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 13:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,739.47,9243.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 14:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,739.47,9243.375,1133.6085891032428,0,1133.6085891032428
